timestamp,station_id,line_direction_cid,car1_congestion,car2_congestion,car3_congestion,car4_congestion,car5_congestion,car6_congestion
2025-07-14 21:28:27,BL06,1,2,1,2,1,1,1.0
2025-07-14 21:29:02,BL07,2,1,1,1,1,1,1.0
2025-07-14 21:27:38,BL05,1,1,1,1,1,1,1.0
2025-07-14 21:28:33,BL08,1,1,1,2,2,2,2.0
2025-07-14 21:27:52,BL18,2,1,1,1,1,1,1.0
2025-07-14 21:28:49,BL11,2,1,1,1,1,1,1.0
2025-07-14 21:27:43,G07,2,1,1,2,1,1,1.0
2025-07-14 21:28:38,G12,1,2,1,2,2,2,2.0
2025-07-14 21:28:26,G08,1,1,1,2,2,1,1.0
2025-07-14 21:28:03,G11,2,1,1,1,1,1,1.0
2025-07-14 21:28:30,G19,1,1,1,1,1,1,1.0
2025-07-14 21:28:57,G17,2,1,1,1,1,1,1.0
2025-07-14 21:28:33,G14,2,1,1,1,1,1,1.0
2025-07-14 21:17:34,G08,0,1,1,1,1,1,1.0
2025-07-14 21:29:00,G05,2,1,1,1,1,1,1.0
2025-07-14 21:28:21,G14,1,1,1,1,1,1,1.0
2025-07-14 21:28:36,G02,1,1,1,1,1,1,1.0
2025-07-14 21:29:27,G02,2,1,1,1,1,1,1.0
2025-07-14 21:27:37,G16,1,1,1,1,1,2,1.0
2025-07-14 21:27:38,O14,1,1,1,1,1,1,1.0
2025-07-14 21:28:32,O21,1,1,1,1,1,1,1.0
2025-07-14 21:28:59,O15,2,1,2,1,1,1,1.0
2025-07-14 21:29:12,O11,2,2,2,2,2,2,1.0
2025-07-14 21:29:28,O07,2,1,1,1,1,1,1.0
2025-07-14 21:27:14,O04,2,1,1,1,1,1,1.0
2025-07-14 21:28:49,O03,1,1,1,1,1,1,1.0
2025-07-14 21:27:39,O06,1,1,2,2,1,1,1.0
2025-07-14 21:29:03,O09,1,1,1,1,1,1,1.0
2025-07-14 21:29:19,O17,1,1,1,1,1,1,1.0
2025-07-14 21:28:48,O19,2,1,1,1,1,1,1.0
2025-07-14 21:26:49,O01,2,1,1,1,1,1,1.0
2025-07-14 21:27:57,O53,1,1,1,1,1,1,1.0
2025-07-14 21:29:06,O09,2,2,2,2,1,1,1.0
2025-07-14 21:26:42,O05,2,1,1,1,1,1,1.0
2025-07-14 21:29:22,O03,2,1,1,1,1,1,1.0
2025-07-14 21:26:32,O02,1,1,1,1,1,1,1.0
2025-07-14 21:27:43,O05,1,1,2,2,2,1,1.0
2025-07-14 21:28:58,O07,1,1,1,2,1,2,2.0
2025-07-14 21:28:57,O50,2,2,2,2,2,1,1.0
2025-07-14 21:27:59,O12,1,1,1,1,1,1,1.0
2025-07-14 21:26:12,R08,2,1,1,1,1,1,1.0
2025-07-14 21:28:18,R02,2,1,1,1,1,1,1.0
2025-07-14 21:29:14,R20,1,1,1,1,1,1,1.0
2025-07-14 21:28:25,R28,1,1,1,1,1,1,1.0
2025-07-14 21:29:19,R17,2,1,2,2,2,2,1.0
2025-07-14 21:29:09,R12,2,2,2,2,2,3,2.0
2025-07-14 21:28:10,R07,2,1,1,2,2,2,2.0
2025-07-14 21:29:10,R06,1,1,1,1,1,1,1.0
2025-07-14 21:28:12,R25,1,1,1,1,1,1,1.0
2025-07-14 21:26:46,R26,2,1,1,2,1,1,1.0
2025-07-14 21:29:22,R22,2,2,2,2,2,1,2.0
2025-07-14 21:29:03,R08,1,1,1,1,1,1,1.0
2025-07-14 21:29:03,R18,1,1,1,1,1,1,1.0
2025-07-14 21:28:44,R19,2,1,1,1,1,1,1.0
2025-07-14 21:28:22,R14,2,2,2,2,2,2,2.0
2025-07-14 21:29:26,R10,1,1,1,1,1,1,1.0
2025-07-14 21:26:56,R05,1,1,1,1,1,1,1.0
2025-07-14 21:28:12,R14,1,1,1,1,1,2,1.0
2025-07-14 21:25:14,R22,1,1,1,1,1,1,1.0
2025-07-14 21:28:14,G06,1,1,2,2,2,2,2.0
2025-07-14 21:32:43,BL04,2,1,1,1,1,1,1.0
2025-07-14 21:31:54,BL01,2,1,1,1,1,1,1.0
2025-07-14 21:31:58,BL23,2,1,1,1,1,1,1.0
2025-07-14 21:34:25,BL18,1,1,1,1,1,1,1.0
2025-07-14 21:32:47,BL15,1,1,2,2,2,2,1.0
2025-07-14 21:32:41,BL07,2,1,1,1,1,1,1.0
2025-07-14 21:34:04,BL15,2,1,1,1,1,1,1.0
2025-07-14 21:32:16,BL11,2,1,1,1,1,1,1.0
2025-07-14 21:32:58,BL10,1,2,2,2,2,2,2.0
2025-07-14 21:33:23,BL09,1,1,1,2,1,2,1.0
2025-07-14 21:34:06,BL11,1,2,1,2,2,2,2.0
2025-07-14 21:33:54,BL07,1,2,2,1,2,1,1.0
2025-07-14 21:34:13,BL20,1,1,1,1,1,1,1.0
2025-07-14 21:33:17,BL19,2,1,1,1,1,1,1.0
2025-07-14 21:33:22,BL10,2,1,1,1,1,1,1.0
2025-07-14 21:33:23,BL22,1,1,1,1,1,1,1.0
2025-07-14 21:32:57,BL22,2,1,1,1,1,1,1.0
2025-07-14 21:34:17,BL16,1,1,1,2,2,2,1.0
2025-07-14 21:33:17,BL17,2,1,1,1,1,1,1.0
2025-07-14 21:33:07,BL13,1,1,2,2,2,2,1.0
2025-07-14 21:31:42,BL02,1,1,1,1,1,1,1.0
2025-07-14 21:33:40,BL04,1,1,1,1,1,1,1.0
2025-07-14 21:33:06,BL09,2,1,1,1,1,1,1.0
2025-07-14 21:33:45,BL06,2,1,1,1,1,1,1.0
2025-07-14 21:32:16,BL06,1,1,1,1,1,1,1.0
2025-07-14 21:34:05,BL21,2,1,1,1,1,1,1.0
2025-07-14 21:33:08,BL13,2,1,1,1,1,1,1.0
2025-07-14 21:33:30,G10,2,1,1,1,1,1,1.0
2025-07-14 21:34:25,G09,1,2,2,2,2,2,2.0
2025-07-14 21:32:38,G06,1,1,1,1,1,1,1.0
2025-07-14 21:31:54,G13,2,1,1,1,1,1,1.0
2025-07-14 21:33:33,G17,1,1,1,1,1,1,1.0
2025-07-14 21:30:59,G18,2,1,1,1,1,1,1.0
2025-07-14 21:32:47,G16,2,1,1,1,1,1,1.0
2025-07-14 21:33:10,G07,2,1,1,1,1,1,1.0
2025-07-14 21:32:43,G12,1,1,1,1,1,1,1.0
2025-07-14 21:34:18,G01,2,1,1,1,1,1,1.0
2025-07-14 21:33:10,G04,2,1,1,1,1,1,1.0
2025-07-14 21:34:26,G13,1,1,1,2,1,1,1.0
2025-07-14 21:33:57,O11,1,1,1,1,1,1,1.0
2025-07-14 21:33:25,O19,1,1,1,1,1,1,1.0
2025-07-14 21:33:44,O17,2,1,1,1,1,1,1.0
2025-07-14 21:33:21,O13,2,2,2,2,2,2,1.0
2025-07-14 21:33:14,O09,2,1,1,1,1,1,1.0
2025-07-14 21:31:23,O05,2,1,1,1,1,1,1.0
2025-07-14 21:30:52,O02,1,1,1,1,1,1,1.0
2025-07-14 21:31:54,O05,1,1,2,2,2,1,1.0
2025-07-14 21:33:09,O07,1,1,1,1,1,2,1.0
2025-07-14 21:31:41,O16,1,1,1,1,1,1,1.0
2025-07-14 21:34:16,O21,1,1,1,1,1,1,1.0
2025-07-14 21:33:41,O03,2,1,1,1,1,1,1.0
2025-07-14 21:33:40,O50,1,1,1,1,1,1,1.0
2025-07-14 21:28:52,O54,1,1,1,1,1,1,1.0
2025-07-14 21:33:00,O11,2,3,3,2,2,2,1.0
2025-07-14 21:33:52,O07,2,1,2,1,1,1,1.0
2025-07-14 21:31:31,O04,2,1,1,1,1,1,1.0
2025-07-14 21:34:27,O01,2,1,1,1,1,1,1.0
2025-07-14 21:33:17,O03,1,1,2,1,1,1,1.0
2025-07-14 21:32:03,O06,1,1,2,2,2,2,2.0
2025-07-14 21:32:58,O52,2,1,1,1,1,1,1.0
2025-07-14 21:33:25,O09,1,1,1,1,1,1,1.0
2025-07-14 21:31:36,R11,2,2,2,2,2,2,2.0
2025-07-14 21:34:25,R05,2,1,2,2,2,2,2.0
2025-07-14 21:33:01,R18,1,1,1,1,1,1,1.0
2025-07-14 21:34:22,R26,1,1,1,1,1,1,1.0
2025-07-14 21:32:34,R19,2,1,2,2,2,2,1.0
2025-07-14 21:32:38,R14,2,2,2,2,2,2,2.0
2025-07-14 21:33:34,R09,2,1,1,2,1,2,2.0
2025-07-14 21:30:58,R05,1,1,1,1,1,1,1.0
2025-07-14 21:32:22,R23,1,1,1,1,1,1,1.0
2025-07-14 21:29:37,R27,2,1,1,1,1,1,1.0
2025-07-14 21:33:57,R24,2,2,2,2,2,1,1.0
2025-07-14 21:34:22,R06,1,1,1,1,1,1,1.0
2025-07-14 21:32:53,R16,1,1,1,1,1,1,1.0
2025-07-14 21:33:07,R16,2,1,1,1,1,1,1.0
2025-07-14 21:33:10,R08,1,1,1,1,1,1,1.0
2025-07-14 21:34:08,R07,2,1,1,1,1,1,1.0
2025-07-14 21:33:05,R11,1,1,1,1,1,1,2.0
2025-07-14 21:33:10,R21,1,1,1,1,1,1,1.0
2025-07-14 21:33:56,G03,1,1,1,1,1,1,1.0
2025-07-14 21:37:59,BL06,2,1,1,1,1,1,1.0
2025-07-14 21:37:04,BL03,2,1,1,1,1,1,1.0
2025-07-14 21:39:01,BL21,1,1,1,1,1,1,1.0
2025-07-14 21:37:56,BL16,1,1,1,2,2,2,1.0
2025-07-14 21:38:19,BL12,1,1,2,2,2,2,1.0
2025-07-14 21:36:38,BL09,2,1,1,1,1,1,1.0
2025-07-14 21:38:57,BL18,2,1,1,1,1,1,1.0
2025-07-14 21:38:29,BL14,2,1,1,1,1,1,1.0
2025-07-14 21:38:31,BL08,1,2,2,2,2,2,2.0
2025-07-14 21:38:56,BL06,1,1,1,1,1,1,1.0
2025-07-14 21:36:29,BL10,1,2,1,2,2,2,2.0
2025-07-14 21:38:06,BL05,1,1,1,1,1,1,1.0
2025-07-14 21:37:58,BL18,1,1,2,1,2,1,1.0
2025-07-14 21:37:27,BL21,2,1,1,1,1,1,1.0
2025-07-14 21:38:38,BL12,2,1,2,1,1,1,1.0
2025-07-14 21:39:21,BL19,1,1,1,1,1,1,1.0
2025-07-14 21:38:19,BL23,1,1,1,1,1,1,1.0
2025-07-14 21:38:16,BL14,1,1,2,2,2,2,1.0
2025-07-14 21:38:41,BL20,2,1,1,1,1,1,1.0
2025-07-14 21:37:44,BL11,1,2,2,2,2,2,2.0
2025-07-14 21:38:59,BL01,2,1,1,1,1,1,1.0
2025-07-14 21:38:40,BL02,1,1,1,1,1,1,1.0
2025-07-14 21:36:46,BL10,2,1,1,1,1,1,1.0
2025-07-14 21:37:36,BL08,2,1,1,1,1,1,1.0
2025-07-14 21:39:04,BL05,2,1,1,1,1,1,1.0
2025-07-14 21:39:00,BL23,2,1,1,1,1,1,1.0
2025-07-14 21:38:28,BL16,2,1,1,1,1,1,1.0
2025-07-14 21:38:59,G13,2,1,1,1,1,1,1.0
2025-07-14 21:38:03,G07,1,2,2,2,2,2,1.0
2025-07-14 21:38:46,G03,1,1,1,1,1,1,1.0
2025-07-14 21:38:43,G16,2,1,1,1,1,1,1.0
2025-07-14 21:37:38,G15,1,1,1,2,2,2,2.0
2025-07-14 21:37:52,G18,1,1,1,1,1,1,1.0
2025-07-14 21:36:57,G18,2,1,1,1,1,1,1.0
2025-07-14 21:38:58,G10,2,1,1,1,1,1,1.0
2025-07-14 21:38:25,G03,2,1,1,1,1,1,1.0
2025-07-14 21:37:05,G06,2,1,1,1,1,1,1.0
2025-07-14 21:38:16,G11,1,1,1,1,2,1,1.0
2025-07-14 21:37:45,O09,1,1,1,1,1,1,1.0
2025-07-14 21:37:59,O17,1,1,1,1,1,1,1.0
2025-07-14 21:38:19,O19,2,1,1,1,1,1,1.0
2025-07-14 21:37:23,O15,2,2,2,1,1,1,1.0
2025-07-14 21:38:56,O12,2,1,2,1,1,1,1.0
2025-07-14 21:38:18,O07,2,1,2,1,1,1,1.0
2025-07-14 21:38:38,O01,2,1,1,1,1,1,1.0
2025-07-14 21:39:26,O02,1,1,1,1,1,1,1.0
2025-07-14 21:36:19,O06,1,1,2,2,2,2,1.0
2025-07-14 21:38:21,O13,1,1,1,1,1,1,1.0
2025-07-14 21:37:15,O21,1,1,1,1,1,1,1.0
2025-07-14 21:35:54,O04,2,1,1,1,1,1,1.0
2025-07-14 21:38:23,O11,1,1,1,1,1,1,1.0
2025-07-14 21:38:41,O52,1,1,1,1,1,1,1.0
2025-07-14 21:37:42,O50,2,2,2,2,2,1,1.0
2025-07-14 21:37:37,O09,2,2,2,1,1,1,1.0
2025-07-14 21:35:20,O05,2,1,1,1,1,1,1.0
2025-07-14 21:38:09,O03,2,1,1,1,1,1,1.0
2025-07-14 21:35:13,O02,1,1,1,1,1,1,1.0
2025-07-14 21:36:18,O05,1,1,2,2,2,2,2.0
2025-07-14 21:37:44,O54,1,1,1,1,1,1,1.0
2025-07-14 21:37:28,O07,1,1,1,1,1,1,1.0
2025-07-14 21:36:31,R14,2,2,2,2,2,2,2.0
2025-07-14 21:37:50,R07,2,1,1,1,2,2,2.0
2025-07-14 21:39:22,R15,1,1,1,1,1,1,1.0
2025-07-14 21:39:10,R24,1,1,1,1,1,1,1.0
2025-07-14 21:38:22,R22,2,1,2,2,2,2,1.0
2025-07-14 21:39:04,R17,2,2,2,2,2,2,1.0
2025-07-14 21:38:42,R12,2,2,2,2,2,2,2.0
2025-07-14 21:37:57,R02,2,1,1,1,1,1,1.0
2025-07-14 21:38:51,R20,1,1,1,1,1,1,1.0
2025-07-14 21:36:29,R28,1,1,1,1,1,1,1.0
2025-07-14 21:38:52,R26,2,1,1,2,1,1,1.0
2025-07-14 21:36:21,R05,1,1,1,1,1,1,1.0
2025-07-14 21:37:50,R14,1,1,1,1,1,1,1.0
2025-07-14 21:34:15,R22,2,1,1,1,1,1,1.0
2025-07-14 21:38:23,R19,2,1,1,1,1,1,1.0
2025-07-14 21:38:30,R06,1,1,1,1,1,1,1.0
2025-07-14 21:37:44,R08,2,1,1,1,1,1,1.0
2025-07-14 21:38:42,R08,1,1,1,1,1,1,1.0
2025-07-14 21:38:42,R18,1,1,1,1,1,1,1.0
2025-07-14 21:39:22,G01,2,1,1,1,1,1,1.0
2025-07-14 21:43:35,BL09,2,1,1,1,1,1,1.0
2025-07-14 21:42:34,BL05,2,1,1,1,1,1,1.0
2025-07-14 21:42:51,BL19,1,1,1,1,1,1,1.0
2025-07-14 21:43:34,BL13,1,1,2,2,2,2,1.0
2025-07-14 21:43:44,BL10,1,1,2,2,1,2,2.0
2025-07-14 21:42:42,BL11,2,1,1,1,1,1,1.0
2025-07-14 21:42:42,BL20,2,1,1,1,1,1,1.0
2025-07-14 21:43:35,BL17,2,1,1,1,1,1,1.0
2025-07-14 21:42:28,BL06,1,2,1,2,1,1,1.0
2025-07-14 21:41:43,BL05,1,1,1,1,1,1,1.0
2025-07-14 21:44:17,BL07,1,1,1,1,1,1,1.0
2025-07-14 21:43:16,BL03,1,1,1,1,1,1,1.0
2025-07-14 21:41:36,BL16,1,1,2,2,2,2,1.0
2025-07-14 21:42:20,BL23,2,1,1,1,1,1,1.0
2025-07-14 21:44:22,BL15,2,1,1,1,1,1,1.0
2025-07-14 21:43:06,BL17,1,1,1,2,2,2,1.0
2025-07-14 21:42:54,BL21,1,1,1,1,1,1,1.0
2025-07-14 21:41:48,BL12,1,1,2,2,2,2,1.0
2025-07-14 21:43:42,BL22,2,1,1,1,1,1,1.0
2025-07-14 21:43:48,BL09,1,2,1,2,2,2,2.0
2025-07-14 21:44:07,BL03,2,1,1,1,1,1,1.0
2025-07-14 21:42:18,BL01,1,1,1,1,1,1,1.0
2025-07-14 21:43:42,BL13,2,1,1,1,1,1,1.0
2025-07-14 21:43:01,BL10,2,1,1,1,1,1,1.0
2025-07-14 21:43:02,BL07,2,1,1,1,1,1,1.0
2025-07-14 21:43:44,BL22,1,1,1,1,1,1,1.0
2025-07-14 21:43:48,BL19,2,1,1,1,1,1,1.0
2025-07-14 21:43:45,G15,2,1,1,1,1,1,1.0
2025-07-14 21:42:16,G05,1,1,2,2,1,1,1.0
2025-07-14 21:40:44,G02,1,1,1,1,1,1,1.0
2025-07-14 21:42:47,G18,2,1,1,1,1,1,1.0
2025-07-14 21:42:22,G13,1,2,2,2,2,2,2.0
2025-07-14 21:44:24,G15,1,1,1,1,2,2,2.0
2025-07-14 21:43:55,G18,1,1,1,1,1,1,1.0
2025-07-14 21:42:52,G12,2,1,1,1,1,1,1.0
2025-07-14 21:44:10,G06,2,1,1,1,1,1,1.0
2025-07-14 21:43:20,G09,2,1,1,1,1,1,1.0
2025-07-14 21:44:02,G08,1,1,2,2,2,2,2.0
2025-07-14 21:41:47,O07,1,1,1,1,1,1,1.0
2025-07-14 21:43:08,O15,1,1,1,1,1,1,1.0
2025-07-14 21:43:27,O21,1,1,1,1,1,1,1.0
2025-07-14 21:43:54,O18,2,2,1,1,1,1,1.0
2025-07-14 21:43:39,O14,2,1,1,1,1,1,1.0
2025-07-14 21:44:16,O10,2,2,2,1,1,1,1.0
2025-07-14 21:42:19,O03,2,1,1,1,1,1,1.0
2025-07-14 21:44:10,O01,2,1,1,1,1,1,1.0
2025-07-14 21:44:02,O04,1,1,2,1,1,1,1.0
2025-07-14 21:44:26,O10,1,1,1,1,1,1,1.0
2025-07-14 21:42:08,O19,1,1,1,1,1,1,1.0
2025-07-14 21:44:02,O06,2,1,1,1,1,1,1.0
2025-07-14 21:43:48,O08,1,1,1,1,1,1,1.0
2025-07-14 21:42:24,O50,1,1,1,1,1,1,1.0
2025-07-14 21:43:53,O53,2,1,1,1,1,1,1.0
2025-07-14 21:43:15,O12,2,2,2,2,2,2,1.0
2025-07-14 21:42:23,O07,2,1,2,1,1,1,1.0
2025-07-14 21:44:09,O05,2,1,1,1,1,1,1.0
2025-07-14 21:43:05,O01,2,1,1,1,1,1,1.0
2025-07-14 21:43:03,O54,1,1,1,1,1,1,1.0
2025-07-14 21:40:40,O06,1,1,2,2,1,1,1.0
2025-07-14 21:41:11,R16,2,2,2,1,2,2,1.0
2025-07-14 21:43:17,R09,2,1,2,1,2,2,2.0
2025-07-14 21:44:05,R13,1,1,1,1,1,1,1.0
2025-07-14 21:44:26,R22,1,1,1,1,1,1,1.0
2025-07-14 21:43:18,R24,2,1,2,2,2,1,1.0
2025-07-14 21:42:21,R19,2,2,2,2,2,2,1.0
2025-07-14 21:42:01,R14,2,2,2,2,2,2,2.0
2025-07-14 21:44:09,R05,2,1,2,2,2,2,2.0
2025-07-14 21:42:40,R18,1,1,1,1,1,1,1.0
2025-07-14 21:42:27,R26,1,1,1,1,1,1,1.0
2025-07-14 21:41:59,R27,2,1,1,2,1,1,1.0
2025-07-14 21:44:02,R07,2,1,1,1,1,1,1.0
2025-07-14 21:42:50,R11,1,1,2,1,1,1,2.0
2025-07-14 21:44:26,R20,1,1,1,1,1,1,1.0
2025-07-14 21:44:26,R03,1,1,1,1,1,1,1.0
2025-07-14 21:43:27,R11,2,2,2,2,2,3,2.0
2025-07-14 21:44:01,R06,1,1,1,1,1,1,1.0
2025-07-14 21:42:39,R16,1,1,1,1,1,1,1.0
2025-07-14 21:44:07,G03,2,1,1,1,1,1,1.0
2025-07-14 21:47:15,BL10,2,1,1,1,1,1,1.0
2025-07-14 21:48:46,BL08,2,1,1,1,1,1,1.0
2025-07-14 21:48:24,BL16,1,1,2,2,3,2,2.0
2025-07-14 21:48:12,BL11,1,1,2,2,2,1,1.0
2025-07-14 21:49:05,BL08,1,1,1,2,1,1,1.0
2025-07-14 21:49:01,BL14,2,1,1,1,1,1,1.0
2025-07-14 21:50:02,BL23,2,1,1,1,1,1,1.0
2025-07-14 21:49:02,BL20,2,1,2,1,1,1,1.0
2025-07-14 21:47:37,BL04,1,1,1,1,1,1,1.0
2025-07-14 21:48:36,BL06,2,1,1,1,1,1,1.0
2025-07-14 21:48:23,BL05,1,1,1,1,1,1,1.0
2025-07-14 21:49:19,BL01,1,1,1,1,1,1,1.0
2025-07-14 21:49:06,BL12,1,2,2,2,2,2,2.0
2025-07-14 21:47:40,BL22,1,1,1,1,1,1,1.0
2025-07-14 21:49:21,BL18,2,1,1,1,1,1,1.0
2025-07-14 21:48:54,BL14,1,2,2,2,2,2,2.0
2025-07-14 21:48:30,BL18,1,1,1,2,2,2,1.0
2025-07-14 21:47:09,BL10,1,2,2,2,2,2,2.0
2025-07-14 21:48:46,BL23,1,1,1,1,1,1,1.0
2025-07-14 21:47:50,BL07,1,2,1,1,2,1,2.0
2025-07-14 21:46:41,BL04,2,1,1,1,1,1,1.0
2025-07-14 21:49:03,BL02,2,1,1,1,1,1,1.0
2025-07-14 21:49:10,BL16,2,1,1,1,1,1,1.0
2025-07-14 21:48:20,BL12,2,1,1,1,1,1,1.0
2025-07-14 21:47:04,BL09,2,1,1,1,1,1,1.0
2025-07-14 21:48:10,BL20,1,1,1,1,1,1,1.0
2025-07-14 21:48:06,BL21,2,1,1,1,1,1,1.0
